Name;Street;Neighborhood;City;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
CEAM;Rua Busaco, 110;Rio Grande;São Bernardo do Campo;5.0;33.0;ChIJnf0zs_8_zpQRjH0wqYPjt6g;veterinary_care;-23.7767158;-46.5178123
Equus;Rua Jandir Carvalho Lanes, 102;Batistini;São Bernardo do Campo;5.0;10.0;ChIJM0Eq7sNAzpQRcisrskywOq0;veterinary_care;-23.7706711;-46.5784645
Ricardo Soluções;Rua Cravo, 226;Clube de Campo Anchieta;Santo André;5.0;1.0;ChIJVePgvPwVzpQRvFVmZsxaxG8;pet_store;-23.7637058;-46.4703081
PB Distribuidora;;;;3.0;2.0;ChIJ7UgEQ0bV0ZQRzwTQPQ2wxIM;pet_store;-23.76642;-46.5864279
Dafer Mar - Peixaria;Avenida João Firmino, 729;Assunção;São Bernardo do Campo;4.7;578.0;ChIJUZlQ12RBzpQRCQk0n8mI7_M;pet_store;-23.7213647;-46.5650591
Simulador Laparoscopico SSL;Rua Alferes Bonilha, 101;62 - Centro;São Bernardo do Campo;5.0;1.0;ChIJvzShq4ZBzpQRrs7jU4P6ddU;veterinary_care;-23.7140979;-46.5505722
Alpha Vision Equip. Ópticos e Eletrônicos LTDA;Rua Giovanni Giusti, 56;Vila Suzi;São Bernardo do Campo;5.0;36.0;ChIJmdA4uV5BzpQR2qefJrLuxaE;veterinary_care;-23.7163424;-46.54285520000001
Unicpharma - unidade São Bernardo;Avenida Índico, 96;Jardim do Mar;São Bernardo do Campo;4.8;47.0;ChIJySnpmcNDzpQRlHohjiehXWo;veterinary_care;-23.6959127;-46.55342439999999
Drc;Rua Giacinto Tognato, 1251;Baeta Neves;São Bernardo do Campo;5.0;1.0;ChIJnZhXdSNCzpQRul_eB35IXf8;veterinary_care;-23.6984098;-46.5391143
Perilhão Art Colors - Presentes Personalizados, Comemorativos e Acessórios;;;;5.0;1.0;ChIJEdw4EgNqzpQRsKRUT6chfJc;pet_store;-23.6980075;-46.50723
Redes de proteção Rodrigues;Rua Doutor Baeta Neves, 221;sala 3 - Baeta Neves;São Bernardo do Campo;4.9;687.0;ChIJyYG9P0pCzpQRegk9ONHTwPQ;pet_store;-23.6936317;-46.54661989999999
merceria patricia;Avenida Assis Brasil, 85;Vila Assis Brasil;Mauá;4.6;9.0;ChIJV_5zSNhrzpQRHBD-MJ2oj_0;veterinary_care;-23.6821555;-46.4668202
Mercado compre mais;Rua da Glória, 411;Piraporinha;Diadema;4.8;4.0;ChIJOWPls3lDzpQRfuZcbxB683Y;pet_store;-23.680922;-46.58524800000001
Alquifarma - Farmácia de Manipulação e Homeopatia - Matriz;Rua Santa Cecília, 276;Matriz;Mauá;5.0;40.0;ChIJI5hxyGhpzpQREg2s6L8zcj8;veterinary_care;-23.6698778;-46.46170739999999
HERBORA - Handling and Homeopathy;Rua General Osório, 308;Vila Bocaina;Mauá;4.0;46.0;ChIJGWtlDl1pzpQRRZcUH5QqMkw;veterinary_care;-23.6692549;-46.456975
Alquifarma - Farmácia de Manipulação;Rua: Campos Sales, 120;Vila Bocaina;Mauá;4.5;123.0;ChIJlXytKV1pzpQRPucctBgLtDM;veterinary_care;-23.667571;-46.45624299999999
Hérbora - Manipulação & Homeopatia;Avenida João Ramalho, 251;Vila Assunção;Santo André;4.1;50.0;ChIJg7cs7WJCzpQRf3yzANWNc6Q;veterinary_care;-23.6646086;-46.5275638
Argentum Farmácia de Manipulação e Homeopatia;Avenida Dom Pedro I, 62;Vila América;Santo André;3.8;64.0;ChIJMe8kP9ZpzpQRGH7u46hKk08;veterinary_care;-23.665354;-46.5151774
Outletlab Comércio de Equipamentos para Laboratório;Rua Olávo Hansen, 321;Parque Capuava;Santo André;5.0;2.0;ChIJOSN0_rFpzpQRYf-zHqSdC5A;veterinary_care;-23.6468755;-46.4934588
Crispin Hospitalar;;;;5.0;2.0;ChIJfwSOxLBCzpQRq9c-irJDdNo;veterinary_care;-23.6331551;-46.5245248
pq das flores;;;;3.7;3.0;ChIJIbgZYdNpzpQRD4_qFrRq_3c;pet_store;-23.6366101;-46.44765160000001
Online Farmácia - Sare;Rua Joana Angélica, 249;Sala 12 - Barcelona;São Caetano do Sul;3.9;52.0;ChIJSYmIggJczpQR9pNIBMPiShw;veterinary_care;-23.6264982;-46.54900529999999
KAVJU;Rua Ataúlfo Alves, 392;sala A - Jardim Sonia Maria;Mauá;5.0;1.0;ChIJWbbzMjlpzpQRAkbenu8I72I;pet_store;-23.626059;-46.4780881
Cubo Farmácia de Manipulação;Rua José Paolone, 274;Santa Paula;São Caetano do Sul;5.0;34.0;ChIJJ3ujb9JdzpQRpTXA96MRilY;veterinary_care;-23.6157649;-46.5680745
PharmaRav;Avenida Sapopemba, 11993;A - Jardim Sapopemba;São Paulo;4.7;212.0;ChIJhZNgUN9nzpQRlgycL8VK_a8;veterinary_care;-23.6128248;-46.4927009
Central Net;;;;5.0;1.0;ChIJXfSQEulvzpQR3FMzhS3B1TA;pet_store;-23.6033125;-46.4327334
Garden Farmácia de Manipulação;Avenida do Oratório, 1981;Parque São Lucas;São Paulo;3.5;16.0;ChIJ37djX6ldzpQRMm6G6fo9tmw;veterinary_care;-23.5913351;-46.5499571
