Name;Address;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Mania pet tatetos;Estrada Ernesto Zabeu - Tatetos, São Bernardo do Campo;4.8;46;ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;pet_store;-23.8243565;-46.5673697
Ruy Pet Shop;Travessa Miguel Guerra, 316 - Jd boa vista, São Bernardo do Campo;N/A;N/A;ChIJA1iEe2A_zpQRKG5Lq-acEIE;pet_store;-23.8015605;-46.54137009999999
Beleza Animal;Rua Frei Angelico Manetti, 116 - Jardim Tupã, São Bernardo do Campo;5;1;ChIJ3X2K2IQ_zpQRZbYRRPVtnT8;pet_store;-23.7928785;-46.5471071
ParaSeuMelhorAmigo;Estrada do Rio Acima, 1938 - Riacho Grande, São Bernardo do Campo;4.7;50;ChIJF37I14w_zpQRXcdyz7K-WzE;pet_store;-23.78759909999999;-46.53600669999999
Pet Rizzo Riacho - Banho e Tosa;Estrada do Rio Acima, 1693 - Riacho Grande, São Bernardo do Campo;4.9;151;ChIJx0D8erk_zpQRxkPdCB-2h08;pet_store;-23.7874883;-46.5345842
Casa de Ração da Lia;Rua Benedito da Silva, A-96 - Rio Grande, São Bernardo do Campo;5;10;ChIJ4V9m3kUVzpQR_-rpQGBBOuk;pet_store;-23.7859117;-46.5043658
Pet shop;Riacho Grande, São Bernardo do Campo;N/A;N/A;ChIJv5Iy66I_zpQRs1A57-bf0bI;pet_store;-23.7791734;-46.5292
Veterinary Clinic Riacho Grande;Estrada do Rio Acima, 765 - Riacho Grande, São Bernardo do Campo;4.7;159;ChIJvc83UfQ_zpQRDox3xXhvUT4;veterinary_care;-23.7821859;-46.53229229999999
Toca de Francisco;Rua Antônio Caputo, 275 - Rio Grande, São Bernardo do Campo;4.8;129;ChIJxxL4CvY_zpQREc0sOYhd_yg;veterinary_care;-23.7799052;-46.5305825
Estoril PEt;Rua Aljubarrota, 821 - Parque Estoril, São Bernardo do Campo;5;30;ChIJ59fSOrQ_zpQRXPTcOM2zlSs;pet_store;-23.7766132;-46.5172585
